datetime,elapsed_time,test_num,test_time,power,motor_rpm,bike_kph,torque,grade,gear_ratio,control_type,chain_name,chain_length,chain_usage_s,chain_usage_revs,chain_usage_dist,chain_usage_work,treatment_name,treatment_num,treatment_usage_s,treatment_usage_revs,treatment_usage_dist,treatment_usage_work,rig_on_time
2023-04-18 11:13:59.296943,0.009973,-1,600,0.0,100.0,32.6,0.0,0.0,2.471,brake,01-12,112,62748.47436928749,100103.82888872678,543874.8429953728,15868.299160186392,none,1,62748.47436928749,100103.82888872678,543874.8429953728,15868.299160186392,916.0
2023-04-18 11:23:59.312666,600.025696,-1,10,0.0,0.0,0.0,0.0,0.0,2.471,brake,01-12,112,63347.91404461861,101100.96277761324,549292.3784012597,15978.877269386187,none,1,63347.91404461861,101100.96277761324,549292.3784012597,15978.877269386187,1517.0
2023-04-18 11:24:09.306735,610.019765,0,90,200.0,60.0,19.6,31.831,3.111,2.471,brake,01-12,112,63353.714428663254,101101.77416650212,549296.7867641514,15978.955848506843,none,1,63353.714428663254,101101.77416650212,549296.7867641514,15978.955848506843,1527.0
2023-04-18 11:25:39.329976,700.043006,-1,21,0.0,0.0,0.0,0.0,0.0,2.471,brake,01-12,112,63443.169835567474,101189.92583316847,549775.7242273721,15996.28285423391,none,1,63443.169835567474,101189.92583316847,549775.7242273721,15996.28285423391,1617.0
2023-04-18 11:26:00.338342,721.051372,1,90,300.0,60.0,19.6,47.746,5.318,2.471,brake,01-12,112,63446.79701447487,101190.30888872406,549777.8054093057,15996.377708617973,none,1,63446.79701447487,101190.30888872406,549777.8054093057,15996.377708617973,1638.0
2023-04-18 11:27:30.350178,811.063208,-1,40,0.0,0.0,0.0,0.0,0.0,2.471,brake,01-12,112,63536.1732108593,101278.44249983363,550256.6447747427,16022.256810200173,none,1,63536.1732108593,101278.44249983363,550256.6447747427,16022.256810200173,1728.0
2023-04-18 11:28:10.360720,851.07375,2,90,200.0,70.0,22.8,27.284,2.155,2.471,brake,01-12,112,63537.80721783638,101278.79499983363,550258.5599450642,16022.407872438003,none,1,63537.80721783638,101278.79499983363,550258.5599450642,16022.407872438003,1768.0
2023-04-18 11:29:40.353838,941.066868,-1,19,0.0,0.0,0.0,0.0,0.0,2.471,brake,01-12,112,63627.292603969574,101381.08555538885,550814.3155086612,16039.718624652343,none,1,63627.292603969574,101381.08555538885,550814.3155086612,16039.718624652343,1858.0
2023-04-18 11:29:59.360342,960.073372,3,90,300.0,70.0,22.8,40.926,4.046,2.471,brake,01-12,112,63632.5617287159,101381.58194427777,550817.0124427554,16039.813506355378,none,1,63632.5617287159,101381.58194427777,550817.0124427554,16039.813506355378,1877.0
2023-04-18 11:31:29.361025,1050.074055,-1,35,0.0,0.0,0.0,0.0,0.0,2.471,brake,01-12,112,63721.94393658638,101484.04444427688,551373.7021989713,16065.653270391591,none,1,63721.94393658638,101484.04444427688,551373.7021989713,16065.653270391591,1967.0
2023-04-18 11:32:04.388789,1085.101819,4,90,400.0,70.0,22.8,54.567,5.938,2.471,brake,01-12,112,63726.1430978775,101484.55888872135,551376.497230836,16065.820243803324,none,1,63726.1430978775,101484.55888872135,551376.497230836,16065.820243803324,2002.0
2023-04-18 11:33:34.386188,1175.099218,-1,57,0.0,0.0,0.0,0.0,0.0,2.471,brake,01-12,112,63815.65221166611,101586.95861094291,551932.8459086489,16100.116073510459,none,1,63815.65221166611,101586.95861094291,551932.8459086489,16100.116073510459,2092.0
